identity/LineItemId,bill/BillingPeriodStartDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/ResourceId,lineItem/UsageAmount,lineItem/UnblendedRate,lineItem/UnblendedCost,product/ProductName,product/region,resourceTags/user/Name
li000001,2026-05-18,123456789012,Usage,2026-05-18T00:00:00Z,2026-05-18T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000002,2026-05-18,123456789012,Usage,2026-05-18T00:00:00Z,2026-05-18T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000003,2026-05-18,123456789012,Usage,2026-05-18T00:00:00Z,2026-05-18T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000004,2026-05-18,123456789012,Usage,2026-05-18T00:00:00Z,2026-05-18T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000005,2026-05-18,123456789012,Usage,2026-05-19T00:00:00Z,2026-05-19T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000006,2026-05-18,123456789012,Usage,2026-05-19T00:00:00Z,2026-05-19T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000007,2026-05-18,123456789012,Usage,2026-05-19T00:00:00Z,2026-05-19T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000008,2026-05-18,123456789012,Usage,2026-05-19T00:00:00Z,2026-05-19T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000009,2026-05-18,123456789012,Usage,2026-05-20T00:00:00Z,2026-05-20T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000010,2026-05-18,123456789012,Usage,2026-05-20T00:00:00Z,2026-05-20T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000011,2026-05-18,123456789012,Usage,2026-05-20T00:00:00Z,2026-05-20T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000012,2026-05-18,123456789012,Usage,2026-05-20T00:00:00Z,2026-05-20T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000013,2026-05-18,123456789012,Usage,2026-05-21T00:00:00Z,2026-05-21T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000014,2026-05-18,123456789012,Usage,2026-05-21T00:00:00Z,2026-05-21T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
