identity/LineItemId,bill/BillingPeriodStartDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/ResourceId,lineItem/UsageAmount,lineItem/UnblendedRate,lineItem/UnblendedCost,product/ProductName,product/region,resourceTags/user/Name
le000001,2026-06-01,123456789012,Usage,2026-06-01T00:00:00Z,2026-06-01T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgebound15,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,bound15
le000002,2026-06-01,123456789012,Usage,2026-06-02T00:00:00Z,2026-06-02T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgebound15,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,bound15
le000003,2026-06-01,123456789012,Usage,2026-06-03T00:00:00Z,2026-06-03T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgebound15,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,bound15
le000004,2026-06-01,123456789012,Usage,2026-06-01T00:00:00Z,2026-06-01T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000005,2026-06-01,123456789012,Usage,2026-06-02T00:00:00Z,2026-06-02T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000006,2026-06-01,123456789012,Usage,2026-06-03T00:00:00Z,2026-06-03T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000007,2026-06-01,123456789012,Usage,2026-06-04T00:00:00Z,2026-06-04T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000008,2026-06-01,123456789012,Usage,2026-06-05T00:00:00Z,2026-06-05T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000009,2026-06-01,123456789012,Usage,2026-06-06T00:00:00Z,2026-06-06T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000010,2026-06-01,123456789012,Usage,2026-06-07T00:00:00Z,2026-06-07T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000011,2026-06-01,123456789012,Usage,2026-06-08T00:00:00Z,2026-06-08T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000012,2026-06-01,123456789012,Usage,2026-06-09T00:00:00Z,2026-06-09T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000013,2026-06-01,123456789012,Usage,2026-06-10T00:00:00Z,2026-06-10T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgesched60,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,sched60
le000014,2026-06-01,123456789012,Usage,2026-06-01T00:00:00Z,2026-06-01T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgenocpu0,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,nocpu
le000015,2026-06-01,123456789012,Usage,2026-06-02T00:00:00Z,2026-06-02T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgenocpu0,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,nocpu
le000016,2026-06-01,123456789012,Usage,2026-06-03T00:00:00Z,2026-06-03T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0edgenocpu0,24,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,nocpu
