resource_id,timestamp,namespace,metric_name,statistic,value,unit,period_seconds
i-0edgebound15,2026-06-01T12:00:00Z,AWS/EC2,CPUUtilization,Average,15.0,Percent,86400
i-0edgebound15,2026-06-02T12:00:00Z,AWS/EC2,CPUUtilization,Average,15.0,Percent,86400
i-0edgebound15,2026-06-03T12:00:00Z,AWS/EC2,CPUUtilization,Average,15.0,Percent,86400
i-0edgesched60,2026-06-01T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-02T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-03T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-04T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-05T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-06T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0edgesched60,2026-06-07T12:00:00Z,AWS/EC2,CPUUtilization,Average,80.0,Percent,86400
i-0edgesched60,2026-06-08T12:00:00Z,AWS/EC2,CPUUtilization,Average,80.0,Percent,86400
i-0edgesched60,2026-06-09T12:00:00Z,AWS/EC2,CPUUtilization,Average,80.0,Percent,86400
i-0edgesched60,2026-06-10T12:00:00Z,AWS/EC2,CPUUtilization,Average,80.0,Percent,86400
i-0edgenocpu0,2026-06-01T12:00:00Z,AWS/EC2,NetworkIn,Average,1048576,Bytes,86400
i-0edgenocpu0,2026-06-02T12:00:00Z,AWS/EC2,NetworkIn,Average,1048576,Bytes,86400
i-0edgenocpu0,2026-06-03T12:00:00Z,AWS/EC2,NetworkIn,Average,1048576,Bytes,86400
i-0edgerevorph,2026-06-01T12:00:00Z,AWS/EC2,CPUUtilization,Average,4.0,Percent,86400
i-0edgerevorph,2026-06-02T12:00:00Z,AWS/EC2,CPUUtilization,Average,4.0,Percent,86400
i-0edgerevorph,2026-06-03T12:00:00Z,AWS/EC2,CPUUtilization,Average,4.0,Percent,86400
