resource_id,timestamp,namespace,metric_name,statistic,value,unit,period_seconds
i-0a1active01,2026-05-18T12:00:00Z,AWS/EC2,CPUUtilization,Average,68.0,Percent,86400
i-0b2idle002,2026-05-18T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-18T12:00:00Z,AWS/EC2,CPUUtilization,Average,63.0,Percent,86400
i-0a1active01,2026-05-19T12:00:00Z,AWS/EC2,CPUUtilization,Average,69.0,Percent,86400
i-0b2idle002,2026-05-19T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-19T12:00:00Z,AWS/EC2,CPUUtilization,Average,64.0,Percent,86400
i-0a1active01,2026-05-20T12:00:00Z,AWS/EC2,CPUUtilization,Average,70.0,Percent,86400
i-0b2idle002,2026-05-20T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-20T12:00:00Z,AWS/EC2,CPUUtilization,Average,61.0,Percent,86400
i-0a1active01,2026-05-21T12:00:00Z,AWS/EC2,CPUUtilization,Average,68.0,Percent,86400
i-0b2idle002,2026-05-21T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-21T12:00:00Z,AWS/EC2,CPUUtilization,Average,62.0,Percent,86400
i-0a1active01,2026-05-22T12:00:00Z,AWS/EC2,CPUUtilization,Average,69.0,Percent,86400
i-0b2idle002,2026-05-22T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-22T12:00:00Z,AWS/EC2,CPUUtilization,Average,63.0,Percent,86400
i-0a1active01,2026-05-23T12:00:00Z,AWS/EC2,CPUUtilization,Average,70.0,Percent,86400
i-0b2idle002,2026-05-23T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-23T12:00:00Z,AWS/EC2,CPUUtilization,Average,3.5,Percent,86400
i-0a1active01,2026-05-24T12:00:00Z,AWS/EC2,CPUUtilization,Average,68.0,Percent,86400
i-0b2idle002,2026-05-24T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-24T12:00:00Z,AWS/EC2,CPUUtilization,Average,3.5,Percent,86400
i-0a1active01,2026-05-25T12:00:00Z,AWS/EC2,CPUUtilization,Average,69.0,Percent,86400
i-0b2idle002,2026-05-25T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-25T12:00:00Z,AWS/EC2,CPUUtilization,Average,62.0,Percent,86400
i-0a1active01,2026-05-26T12:00:00Z,AWS/EC2,CPUUtilization,Average,70.0,Percent,86400
i-0b2idle002,2026-05-26T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-26T12:00:00Z,AWS/EC2,CPUUtilization,Average,63.0,Percent,86400
i-0a1active01,2026-05-27T12:00:00Z,AWS/EC2,CPUUtilization,Average,68.0,Percent,86400
i-0b2idle002,2026-05-27T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-27T12:00:00Z,AWS/EC2,CPUUtilization,Average,64.0,Percent,86400
i-0a1active01,2026-05-28T12:00:00Z,AWS/EC2,CPUUtilization,Average,69.0,Percent,86400
i-0b2idle002,2026-05-28T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-28T12:00:00Z,AWS/EC2,CPUUtilization,Average,61.0,Percent,86400
i-0a1active01,2026-05-29T12:00:00Z,AWS/EC2,CPUUtilization,Average,70.0,Percent,86400
i-0b2idle002,2026-05-29T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-29T12:00:00Z,AWS/EC2,CPUUtilization,Average,62.0,Percent,86400
i-0a1active01,2026-05-30T12:00:00Z,AWS/EC2,CPUUtilization,Average,68.0,Percent,86400
i-0b2idle002,2026-05-30T12:00:00Z,AWS/EC2,CPUUtilization,Average,1.5,Percent,86400
i-0c3period03,2026-05-30T12:00:00Z,AWS/EC2,CPUUtilization,Average,3.5,Percent,86400
i-0a1active01,2026-05-31T12:00:00Z,AWS/EC2,CPUUtilization,Average,69.0,Percent,86400
i-0b2idle002,2026-05-31T12:00:00Z,AWS/EC2,CPUUtilization,Average,2.0,Percent,86400
i-0c3period03,2026-05-31T12:00:00Z,AWS/EC2,CPUUtilization,Average,3.5,Percent,86400
